N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE	토론실
1,삼성전자,"81,800",200,+0.25%,100,"4,883,282","5,969,783",53.57,"7,532,352",19.64,9.99,
2,SK하이닉스,"126,500","2,000",-1.56%,"5,000","920,923","728,002",49.56,"1,964,908",18.07,9.53,
3,카카오,"155,000",500,+0.32%,100,"688,091","443,930",32.23,"4,152,827",225.62,2.70,
4,NAVER,"404,500","5,500",-1.34%,100,"664,445","164,263",56.88,"526,441",4.12,15.22,
5,삼성전자우,"74,900",100,+0.13%,100,"616,342","822,887",76.38,"1,351,366",17.98,N/A,
6,LG화학,"830,000","8,000",-0.95%,"5,000","585,916","70,592",46.38,"64,141",36.13,2.93,
7,삼성바이오로직스,"844,000","5,000",-0.59%,"2,500","558,433","66,165",10.11,"33,733",210.47,N/A,
8,현대차,"241,000","2,000",-0.82%,"5,000","514,940","213,668",29.78,"448,825",29.17,2.04,
9,삼성SDI,"678,000","10,000",-1.45%,"5,000","466,224","68,765",42.88,"129,633",66.41,4.54,
10,셀트리온,"266,500","1,000",+0.38%,"1,000","367,548","137,917",20.76,"419,382",61.14,16.68,
11,기아,"89,400","1,300",-1.43%,"5,000","362,395","405,363",33.75,"1,586,990",16.06,5.05,
12,POSCO,"354,000","2,000",+0.57%,"5,000","308,641","87,187",53.78,"256,234",13.83,3.61,
13,현대모비스,"290,000","2,500",-0.85%,"5,000","274,900","94,793",36.67,"160,277",15.48,4.66,
14,LG생활건강,"1,749,000","14,000",-0.79%,"5,000","273,162","15,618",46.34,"18,132",37.70,17.92,
15,LG전자,"163,000",500,-0.31%,"5,000","266,746","163,648",31.10,"782,097",15.18,13.23,
16,SK이노베이션,"285,000","5,000",-1.72%,"5,000","263,527","92,466",23.97,"405,595",-26.95,-13.58,
17,삼성물산,"137,000",500,+0.37%,100,"256,035","186,887",14.59,"205,584",16.32,3.81,
18,KB금융,"57,100",200,-0.35%,"5,000","237,426","415,808",68.95,"778,357",5.94,8.53,
19,SK텔레콤,"328,000","1,500",+0.46%,500,"236,357","72,060",45.68,"124,438",15.11,6.44,
20,신한지주,"41,750",100,+0.24%,"5,000","215,680","516,600",60.72,"1,059,453",5.86,8.20,
21,SK,"287,000","3,000",-1.03%,200,"201,934","70,360",20.35,"87,677",33.42,1.11,
22,엔씨소프트,"820,000","6,000",-0.73%,500,"180,023","21,954",51.82,"28,183",38.07,20.83,
23,LG,"103,500","3,000",-2.82%,"5,000","162,807","157,301",33.67,"186,355",9.50,7.50,
24,삼성생명,"81,100",200,-0.25%,500,"162,200","200,000",13.36,"129,636",7.64,3.53,
25,한국전력,"24,950",150,-0.60%,"5,000","160,170","641,964",15.53,"1,439,132",7.80,2.91,
26,HMM,"44,250","1,200",+2.79%,"5,000","152,836","345,392",12.65,"9,035,871",41.94,8.93,
27,아모레퍼시픽,"253,000","3,000",-1.17%,500,"147,900","58,458",33.86,"133,655",177.05,0.78,
28,삼성에스디에스,"186,000",0,0.00%,500,"143,923","77,378",11.76,"45,281",22.87,6.71,
29,하나금융지주,"47,650",300,+0.63%,"5,000","143,065","300,242",68.42,"1,280,747",5.08,8.96,
30,삼성전기,"173,500","1,500",-0.86%,"5,000","129,594","74,694",30.96,"187,080",19.09,10.92,
31,SK바이오사이언스,"159,500","6,500",+4.25%,500,"122,018","76,500",3.32,"933,335",123.93,13.25,
32,S-Oil,"106,000","2,000",+1.92%,"2,500","119,338","112,583",77.35,"336,196",28.80,-13.07,
33,SK아이이테크놀로지,"167,000","5,500",-3.19%,"1,000","119,067","71,298",5.59,"624,835",N/A,11.00,
34,하이브,"309,500","4,500",-1.43%,500,"117,151","37,852",12.55,"192,646",110.10,12.52,
35,KT&G,"84,600",100,-0.12%,"5,000","116,149","137,292",38.06,"279,605",10.08,13.22,
36,넷마블,"130,000","1,500",-1.14%,100,"111,740","85,954",22.90,"137,175",35.36,6.35,
37,포스코케미칼,"143,500","3,000",-2.05%,500,"111,160","77,463",7.60,"247,401",172.48,2.96,
38,대한항공,"31,400",550,-1.72%,"5,000","109,216","347,821",11.05,"1,794,675",13.42,-7.22,
39,삼성화재,"223,500",500,+0.22%,500,"105,883","47,375",48.08,"73,649",11.14,4.96,
40,두산중공업,"24,200",550,-2.22%,"5,000","102,241","422,483",6.82,"6,327,387",-13.60,-37.20,
41,SK바이오팜,"123,000","1,000",+0.82%,500,"96,325","78,313",7.17,"208,445",-178.52,-135.18,
42,한국조선해양,"135,500","1,500",+1.12%,"5,000","95,898","70,773",17.87,"168,608",-10.37,-7.42,
43,롯데케미칼,"269,500","4,500",+1.70%,"5,000","92,372","34,275",26.36,"182,649",12.44,1.22,
44,한온시스템,"16,950",200,-1.17%,100,"90,479","533,800",18.86,"735,388",67.00,5.09,
45,한화솔루션,"45,400",550,-1.20%,"5,000","86,840","191,278",17.45,"620,090",12.17,5.30,
46,LG디스플레이,"24,200",50,-0.21%,"5,000","86,591","357,816",19.71,"1,842,532",25.64,-0.79,
47,우리금융지주,"11,900",50,+0.42%,"5,000","85,950","722,268",26.05,"2,009,126",5.90,5.87,
48,KT,"32,000",450,-1.39%,"5,000","83,556","261,112",44.16,"807,164",11.11,4.76,
49,고려아연,"440,000","5,000",-1.12%,"5,000","83,028","18,870",21.47,"23,774",12.88,8.37,
50,기업은행,"10,650",0,0.00%,"5,000","79,268","744,301",12.83,"1,208,987",5.21,6.44,
